state,zip_code,zip_first_two_digits,school_type,school_level,rate_unemployment,percent_college,percent_married,median_income,percent_lunch,state_population,zip_first_two_digits_population,average_act
12,76689,76,1,2,-1.2106957109911827,1.0721119570222968,0.7065573151315475,1.1786521378998205,-0.12109807952242858,2.1762978578422096,-0.08464830267922527,
12,77642,77,1,2,-0.25965372638349016,-0.005337192460805388,-0.005786445300451404,-0.026424189432458674,1.4089657890194958,2.1762978578422096,1.5195746397353225,15.5128205128205
12,77522,77,1,2,0.23107871636743896,-0.12945479513156113,-0.5979629779232133,-0.2873366768698086,0.08299968920804594,2.1762978578422096,1.5195746397353225,22.2771672771673
33,62946,62,1,2,2.4583692769231495,-0.22681058819720296,-0.9048660275541183,-0.6180719845261218,0.026886179887881348,-0.009887011950400744,-1.2326537915368878,18.1257631257631
28,28103,28,1,2,0.6166544762690805,-0.5257960692795522,-0.04753041975038999,-0.34931843171658883,0.5664094105718275,-0.32056694067077024,0.39403154834638787,18.980463980464
12,77631,77,1,2,0.05209984395539269,-0.9091326592862268,-0.5523558138194172,-0.3890216039979601,1.4708094664135831,2.1762978578422096,1.5195746397353225,
12,78370,78,1,2,-0.2719802184425692,-0.6317702280297399,-0.5927019469237665,-0.3207752942771077,0.2146312704107384,2.1762978578422096,1.2074376470471546,18.8827838827839
36,49665,49,1,3,0.4756566145672069,-0.5801001207771629,0.3808764941755352,-0.5755476881954995,0.7188735593329463,-0.37106353721446556,-0.6000775799750964,16.4407814407814
12,77044,77,1,2,-0.3415352471630199,1.25626427570774,0.26796282202389976,2.7011464078912133,-0.11908454504893631,2.1762978578422096,1.5195746397353225,18.1990231990232
12,77429,77,1,2,-1.36267021239971,1.5280169349183814,1.065541778022309,2.1800682011471975,-0.7678473741563842,2.1762978578422096,1.5195746397353225,
46,07108,07,1,2,2.655830369809672,-1.6440586542943432,-2.1802673898410774,-1.2344875892874743,1.8584832628936723,-0.4771283503154795,0.21887673999589094,16.5873015873016
31,37030,37,1,2,0.48412079274190856,-1.1606731292898658,-0.2090705863082131,-0.7349411969781833,-0.07514032388319408,-0.7889960260693394,0.06905753222575822,19.4688644688645
43,01778,01,1,2,-0.8997532582673403,2.3175418310144007,1.3304370174372786,4.304789481416945,-1.5099890360027597,-0.7796761665821531,-0.5626699307327458,26.1355311355311
12,77082,77,1,2,0.6415385514367465,0.9750951396015407,-0.5110358085366888,-0.890268968160476,1.0729729746543326,2.1762978578422096,1.5195746397353225,16.7826617826618
25,32209,32,1,2,0.9208106390929383,-1.0987155181192232,-2.244346335277299,-1.0195428290055677,0.8961140053310925,1.1603159277530588,1.0257542242287312,18.8583638583639
46,07405,07,1,2,-0.3315691457818635,0.15238180925864828,1.070786494901357,1.1354225605568855,-1.1768816351064495,-0.4771283503154795,0.21887673999589094,23.1074481074481
31,37398,37,1,2,-0.5460418144706568,-0.09368296041909081,-0.34300908089366866,-0.8040172490664624,0.031037886841086593,-0.7889960260693394,0.06905753222575822,
31,37090,37,1,2,-0.5210343657699248,0.7946626108559516,0.8431914787071874,0.614510302286355,-1.0076872691521321,-0.7889960260693394,0.06905753222575822,22.6190476190476
32,42167,42,1,2,-0.2931861513458261,-1.455982391266385,-0.2781893147674657,-1.0468413528939087,0.4104754733494159,-1.1104486276321293,-1.5104865964576697,19.4200244200244
38,15401,15,1,2,1.449239185285274,-1.3808201650157454,-0.9083950182154508,-1.2436562424475401,0.30893493958211515,0.01774422457800519,-0.9495642982840705,22.5457875457875
28,28580,28,1,2,-0.23815117828544383,-0.42983682927049977,-0.4028792485916027,-0.5308660617095676,0.739118048093726,-0.32056694067077024,0.39403154834638787,20.8363858363858
12,78941,78,1,3,-1.16705100318759,-1.097594417600171,1.3035881365287905,-0.41474361738819016,-0.013568988260089024,2.1762978578422096,1.2074376470471546,21.3980463980464
37,43730,43,1,2,0.6161130640481343,-1.2295716118835536,0.15224171905432482,-0.4849813087908668,1.7948661659410237,-0.14136509188157922,-0.5113395491846926,
38,19136,19,1,3,1.3452320710433159,-1.2470219567048553,-1.4279398073641167,-0.5402421504614902,0.007455495464577013,0.01774422457800519,0.14503321797180654,20.2258852258852
